sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_5
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Li Hua""]","[""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
32,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"[""Alice""]","[""ALICE""]","[""HAILEYJOHNSON""]",1,1,1
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"[""LiHua"", ""photo exhibition"", ""August""]","[""LI HUA"", ""LIHUA"", ""PHOTO EXHIBITION""]","[""WOLFGANG""]",1,1,1
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,"[""LiHua"", ""Wolfgang""]","[""LI HUA"", ""LIHUA"", ""WOLFGANG""]","[""FITZONE""]",1,1,1
75,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Li Hua"", ""Overwatch 3""]","[""LI HUA"", ""LIHUA"", ""OVERWATCH 3""]","[""WOLFGANG""]",1,1,1
78,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,"[""Li Hua"", ""Chinese Lunar New Year""]","[""CHINESE LUNAR NEW YEAR"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
82,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,"[""Li Hua"", ""client"", ""log""]","[""CLIENT"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
85,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,"[""Wolfgang Schulz"", ""Li Hua"", ""café""]","[""CAFÉ"", ""LI HUA"", ""LIHUA"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]","[""THE JAVA SPOT""]",1,1,1
101,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,"[""Li Hua"", ""Yuriko Yamamoto"", ""café"", ""website""]","[""CAFÉ"", ""LI HUA"", ""LIHUA"", ""WEBSITE"", ""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]","[""CENTRAL PERK""]",1,1,1
108,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,"[""Li Hua"", ""homepage design updates""]","[""LI HUA"", ""LIHUA""]","[""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]",1,1,1
