sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_3
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Acquaintances"", ""Group""]","[""FAMILY"", ""FRIENDS"", ""GROUP""]","[""WOLFGANG""]",1,1,1
32,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"[""Delivery service"", ""Recommendation system"", ""Alice's delivery""]","[""DELIVERY SERVICE""]","[""HAILEYJOHNSON""]",1,1,1
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"[""LiHua"", ""Photo exhibition"", ""Invitations"", ""Participants"", ""August""]","[""LI HUA"", ""LIHUA"", ""PHOTO EXHIBITION""]","[""WOLFGANG""]",1,1,1
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,"[""Name"", ""Recommendation"", ""Go to""]","[""RECOMMENDATION""]","[""FITZONE""]",1,1,1
75,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Acquaintances""]","[""FAMILY"", ""FRIENDS""]","[""WOLFGANG""]",1,1,1
78,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,"[""Family"", ""Friends"", ""Gifts"", ""Cuisine"", ""Traditions""]","[""CUISINE"", ""FAMILY"", ""FRIENDS""]","[""WOLFGANG""]",1,1,1
82,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,"[""Log entry"", ""Request tracking"", ""Client communication"", ""Change documentation""]",[],"[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",0,1,0
85,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,"[""Name of the café"", ""Recommendation"", ""Person's name""]","[""RECOMMENDATION""]","[""THE JAVA SPOT""]",1,1,1
101,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,"[""Name of café"", ""Meeting location"", ""Website discussion"", ""Person names"", ""Event details""]",[],"[""CENTRAL PERK""]",0,1,0
108,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,"[""Person"", ""Design"", ""Update"", ""Attendee"", ""Conversation""]","[""DESIGN""]","[""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]",1,1,1
112,Who invites Li Hua to join the community bake sale?,Adam Smith,"[""Li Hua"", ""Event invitation"", ""Community members"", ""Bake sale details"", ""Attendance""]","[""LI HUA"", ""LIHUA""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
129,Who is delivering the bread to Li Hua on 20260403?,Alice,"[""Bread"", ""Person delivering"", ""Date""]","[""BREAD""]","[""ALICE""]",1,1,1
133,What new song does the Jolly band decide to work on for the jam session according to their discussion on 20260410?,Stand By Me,"[""Song title"", ""Band members"", ""Session date"", ""Music production""]",[],"[""'STAND BY ME'"", ""STAND BY ME""]",0,1,0
138,Who proposes that the band takes a break from jamming this week?,Wolfgang Schulz,"[""Band members"", ""Jamming"", ""Proposal"", ""Week""]","[""JAMMING""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
143,Who is Li Hua bringing to the band's jam session according to their discussion on 20260425?,ChaeSong-hwa,"[""Participants"", ""Band members"", ""Date"", ""Discussion details""]",[],"[""CHAE SONG-HWA"", ""CHAESONG-HWA""]",0,1,0
148,What is the name of the Italian restaurant where Wolfgang and Li Hua are having dinner to celebrate Wolfgang's promotion?,Venedia Grancaffe,"[""Restaurant name"", ""Wolfgang"", ""Li Hua"", ""Dining experience"", ""Promotion announcement""]","[""LI HUA"", ""LIHUA"", ""WOLFGANG""]","[""VENEDIA GRANCAFFE""]",1,1,1
162,What does LiHua find as a perfect place to work in his conversation with Chae?,The Lighthouse Cafe,"[""Work environment"", ""Job satisfaction"", ""Workplace culture"", ""Employer reputation"", ""Work-life balance""]","[""WORK ENVIRONMENT"", ""WORK-LIFE BALANCE""]","[""THE LIGHTHOUSE CAFE""]",1,1,1
168,What is the name of the song LiHua suggests revisiting for the band's music session according to their conversation on 20260529?,The History of Everything,"[""Song title"", ""Conversation"", ""Date"", ""Band members"", ""Revisiting""]",[],"[""THE HISTORY OF EVERYTHING""]",0,1,0
171,What is the name of Hailey Johnson's new weekly flavor cheese?,Hazelnut Basque Roasted Cheese,"[""Flavor profile"", ""Cheese type"", ""Weekly release"", ""Product name""]","[""FLAVOR PROFILE""]","[""HAZELNUT BASQUE ROASTED CHEESE""]",1,1,1
178,Who proposes adding some outdoor games or a small water feature to the children's play areain the community discussion?,Thrall,"[""Community members"", ""Playgrounds"", ""Water features"", ""Game proposals"", ""Discussion topics""]",[],"[""THRALL""]",0,1,0
179,Who proposes adding picnic tables for families to enjoy some snacks after playing?,Li Hua,"[""Picnic area"", ""Family members"", ""Snack items"", ""Playtime""]","[""PLAYTIME""]","[""LI HUA"", ""LIHUA""]",1,1,1
180,Who proposes creating a little garden area where kids can help plant flowers or vegetables?,GromHellscream,"[""Children"", ""Planting"", ""Flowers"", ""Vegetables"", ""Community""]","[""CHILDREN"", ""COMMUNITY"", ""FLOWERS"", ""PLANTING"", ""VEGETABLES""]","[""GROM HELLSCREAM"", ""GROMHELLSCREAM""]",1,1,1
194,What song does Yuriko propose that the band can practice this weekend according to the band's discussion on 20260703?,Take Me Home Country Roads by John Denver,"[""Yuriko"", ""Band"", ""Practice session"", ""20260703"", ""Song""]","[""BAND"", ""PRACTICE SESSION"", ""YURIKO""]",[],1,0,0
195,What is the name of the song that Yuriko recommend to the band on 20260706?,Rolling in the Deep by Adele,"[""Song name"", ""Band name"", ""Date format"", ""Recommendation""]","[""RECOMMENDATION""]",[],1,0,0
206,What is Wolfgang's favorite superhero?,Iron Man,"[""Superhero"", ""Character"", ""Favorite"", ""Wolfgang""]","[""WOLFGANG""]","[""IRON MAN""]",1,1,1
207,What is LiHua's favorite superhero?,Spider-Man,"[""Superhero name"", ""Favorite character"", ""Hero identity"", ""Personal preference""]",[],"[""SPIDER-MAN""]",0,1,0
212,Who is recommended by Jennifer to share some fitness tips in the gym group chat on 20260730?,LiHua,"[""Jennifer"", ""Fitness advice"", ""Group chat"", ""Date"", ""Recommendation""]","[""FITNESS ADVICE"", ""GROUP CHAT"", ""JENNIFER"", ""RECOMMENDATION""]","[""LI HUA"", ""LIHUA""]",1,1,1
225,Who offers to help with setting up for the garage sale?,AdamSmith,"[""Garage sale setup"", ""Shopping list"", ""Decorations"", ""Items for sale"", ""Location""]","[""DECORATIONS""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
231,Who does Li Hua mention as their favorite character from The Witcher 3?,Geralt,"[""Character name"", ""Game title"", ""Player preference""]",[],"[""GERALT""]",0,1,0
234,Which scene stood out for Li Hua in The Witcher 3?,"The ""Battle of Kaer Morhen""","[""Game"", ""Character"", ""Visuals"", ""Narrative"", ""Player experience""]","[""GAME"", ""NARRATIVE"", ""PLAYER EXPERIENCE"", ""VISUALS""]",[],1,0,0
241,Which upcoming PS5 exclusive game does Gavriel express curiosity about?,Ghostwire: Tokyo,"[""Game title"", ""Developer"", ""Release date"", ""Console"", ""Player experience""]","[""PLAYER EXPERIENCE"", ""RELEASE DATE""]","[""GHOSTWIRE: TOKYO""]",1,1,1
244,Who shared a music theory tutorial with the group?,Chae Song-hwa,"[""Music theory"", ""Tutorial content"", ""Group members"", ""Sharing process"", ""Educational exchange""]","[""MUSIC THEORY""]","[""CHAE SONG-HWA"", ""CHAESONG-HWA""]",1,1,1
246,What is Kendall's relationship with Logan like according to the group's discussion?,Toxic,"[""Kendall"", ""Logan"", ""Discussion details"", ""Relationship aspects"", ""Social interactions""]","[""KENDALL"", ""LOGAN""]",[],1,0,0
255,Who is the most hateable character in Game of Thrones in Orion's opinion?,Ramsay Bolton,"[""Characters"", ""Hatefulness"", ""Opinion"", ""Game of Thrones series"", ""Character analysis""]","[""CHARACTER ANALYSIS"", ""GAME OF THRONES (SERIES)""]","[""RAMSAY BOLTON""]",1,1,1
256,Who is the most hateable character in Game of Thrones in Merrick's opinion?,Cersei Lannister,"[""Character analysis"", ""Hatefulness"", ""Opinion expression"", ""Game of Thrones characters"", ""Merrick's perspective""]","[""CHARACTER ANALYSIS""]","[""CERSEI LANNISTER""]",1,1,1
257,What is the common interest between Li Hua and Jake Watson?,Soccer,"[""Names"", ""Relationship"", ""Interests""]",[],"[""SOCCER""]",0,1,0
