sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_3
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Roommates"", ""Group""]","[""FAMILY""]","[""WOLFGANG""]",1,1,1
32,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"[""Delivery service"", ""Recommendation system"", ""Alice (name)"", ""Bread""]","[""BREAD"", ""DELIVERY SERVICE""]","[""HAILEYJOHNSON""]",1,1,1
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"[""LiHua"", ""Photo exhibition"", ""August"", ""Invitations"", ""Accompanying"", ""Traveling""]","[""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,"[""Name"", ""Recommendation"", ""Go to""]",[],"[""FITZONE""]",0,1,0
75,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Movie theater"", ""Accompaniment"", ""Tickets"", ""Seats"", ""Showtime""]",[],"[""WOLFGANG""]",0,1,0
78,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,"[""Li Hua"", ""Gifts"", ""Cuisine"", ""Traditions"", ""Family members""]","[""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
82,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,"[""Client"", ""Log entry"", ""Request"", ""Documentation""]",[],"[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",0,1,0
85,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,"[""Name"", ""Location"", ""Menu"", ""Customer"", ""Feedback""]","[""FEEDBACK""]","[""THE JAVA SPOT""]",1,1,0
101,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,"[""Name of café"", ""Meeting location"", ""Discussion topic"", ""Person names"", ""Website details""]",[],"[""CENTRAL PERK""]",0,1,0
108,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,"[""Person"", ""Design"", ""Discussion"", ""Update"", ""Attendee""]",[],"[""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]",0,1,0
112,Who invites Li Hua to join the community bake sale?,Adam Smith,"[""Li Hua"", ""Event organizers"", ""Guests"", ""Invitation process"", ""Community members""]","[""LI HUA"", ""LIHUA""]","[""ADAMSMITH""]",1,1,1
129,Who is delivering the bread to Li Hua on 20260403?,Alice,"[""Person delivering"", ""Bread"", ""Date""]","[""BREAD""]","[""ALICE""]",1,1,1
133,What new song does the Jolly band decide to work on for the jam session according to their discussion on 20260410?,Stand By Me,"[""Song title"", ""Band members"", ""Session date"", ""Music production""]",[],[],0,0,0
138,Who proposes that the band takes a break from jamming this week?,Wolfgang Schulz,"[""Jamming"", ""Week"", ""Proposition""]","[""WEEK""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,0
143,Who is Li Hua bringing to the band's jam session according to their discussion on 20260425?,ChaeSong-hwa,"[""Person"", ""Event"", ""Date""]","[""EVENT""]","[""CHAESONG-HWA""]",1,1,1
