sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_3
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family members"", ""Accompanying people"", ""Movie theater"", ""Ticket purchase"", ""Li Hua"", ""Movie 'Overwatch 3'"", ""Watching a movie"", ""Social activity""]","[""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
32,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"[""Delivery service"", ""Recommendation system"", ""Alice's delivery"", ""Bread delivery service"", ""Recommendation"", ""Alice""]","[""ALICE"", ""DELIVERY SERVICE""]","[""HAILEYJOHNSON""]",1,1,1
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"[""LiHua"", ""Photo exhibition"", ""Invitations"", ""Attendees"", ""August"", ""Photo exhibition"", ""Invitations"", ""Attendees"", ""Time""]","[""LI HUA"", ""LIHUA"", ""TIME""]","[""WOLFGANG""]",1,1,1
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,"[""Gym name"", ""Wolfgang"", ""LiHua"", ""Recommendation"", ""Gym location"", ""Gym recommendation"", ""Wolfgang's recommendation"", ""LiHua's gym""]","[""LI HUA"", ""LIHUA"", ""WOLFGANG""]","[""FITZONE""]",1,1,1
75,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Group"", ""Li Hua"", ""Movie"", ""Watch"", ""Company""]","[""FAMILY"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
78,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,"[""Family"", ""Friends"", ""Gifts"", ""Food"", ""Traditions"", ""Li Hua"", ""Chinese Lunar New Year"", ""Celebration""]","[""CHINESE LUNAR NEW YEAR"", ""FAMILY"", ""FOOD"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
82,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,"[""Client"", ""Log entries"", ""Request tracking"", ""Documentation"", ""Li Hua"", ""Clear log"", ""Changes requested by the client"", ""Logkeeping""]","[""LI HUA"", ""LIHUA""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
85,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,"[""Name"", ""Location"", ""Menu"", ""Customer"", ""Feedback"", ""Café"", ""Wolfgang Schulz"", ""Li Hua"", ""Recommendation""]","[""CAFÉ"", ""FEEDBACK"", ""LI HUA"", ""LIHUA"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]","[""THE JAVA SPOT""]",1,1,1
101,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,"[""Name of café"", ""Location"", ""Date"", ""Participants"", ""Website details"", ""Café"", ""First meeting"", ""Talk about website"", ""Li Hua"", ""Yuriko Yamamoto""]","[""CAFÉ"", ""LI HUA"", ""LIHUA"", ""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]","[""CENTRAL PERK""]",1,1,1
108,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,"[""Person"", ""Design"", ""Updates"", ""Attendee"", ""Conversation"", ""Li Hua"", ""Homepage design updates"", ""Meeting"", ""Discussion""]","[""LI HUA"", ""LIHUA""]","[""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]",1,1,1
