sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_2
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family members"", ""Accompanying people"", ""Movie theater"", ""Ticket purchase"", ""Li Hua"", ""Movie 'Overwatch 3'"", ""Watching a movie""]","[""FRIENDS"", ""LI HUA"", ""LIHUA"", ""WATCHING A MOVIE""]","[""WOLFGANG""]",1,1,1
32,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"[""Delivery service"", ""Recommendation system"", ""Alice (name)"", ""Bread"", ""Bread delivery service"", ""Recommendation"", ""Alice""]","[""ALICE"", ""BREAD"", ""BREAD DELIVERY SERVICE"", ""DELIVERY SERVICE"", ""RECOMMENDATION""]","[""HAILEYJOHNSON""]",1,1,1
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"[""Names"", ""Dates"", ""Participants"", ""Event details"", ""Travel arrangements"", ""LiHua"", ""Photo exhibition"", ""Invitation"", ""Attendees"", ""August""]","[""LI HUA"", ""LIHUA"", ""PHOTO EXHIBITION""]","[""WOLFGANG""]",1,1,1
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,"[""Name"", ""Location"", ""Recommendation"", ""Gym"", ""Wolfgang recommended"", ""LiHua""]","[""GYM"", ""LI HUA"", ""LIHUA"", ""RECOMMENDATION""]","[""FITZONE""]",1,1,1
75,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Group"", ""Li Hua"", ""Movie"", ""Watching"", ""Company""]","[""COMPANY"", ""FAMILY"", ""FRIENDS"", ""GROUP"", ""LI HUA"", ""LIHUA"", ""MOVIE""]","[""WOLFGANG""]",1,1,1
78,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,"[""Li Hua"", ""Gifts"", ""Dumplings"", ""Red envelopes"", ""Fireworks"", ""Family members"", ""Chinese Lunar New Year"", ""Celebration"", ""Family"", ""Traditions""]","[""CELEBRATION"", ""CHINESE LUNAR NEW YEAR"", ""DUMPLINGS"", ""FAMILY"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
82,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,"[""Client"", ""Log entry"", ""Request"", ""Change tracking"", ""Documentation"", ""Li Hua"", ""Clear log"", ""Changes requested by client"", ""Logkeeping""]","[""CLIENT"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
85,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,"[""Name of the café"", ""Recommendation"", ""Person's name"", ""Café recommendation"", ""Wolfgang Schulz"", ""Li Hua""]","[""LI HUA"", ""LIHUA"", ""RECOMMENDATION"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]","[""THE JAVA SPOT""]",1,1,1
101,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,"[""Name of café"", ""Meeting location"", ""Discussion topic"", ""Website details"", ""People involved"", ""Café"", ""First meeting"", ""Talk about website"", ""Li Hua"", ""Yuriko Yamamoto""]","[""CAFÉ"", ""LI HUA"", ""LIHUA"", ""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]","[""CENTRAL PERK""]",1,1,1
108,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,"[""Li Hua"", ""Homepage design"", ""Updates"", ""Discussion details"", ""Meeting"", ""Homepage design updates"", ""Meeting with Li Hua"", ""Discussion""]","[""DISCUSSION"", ""HOMEPAGE DESIGN"", ""LI HUA"", ""LIHUA"", ""MEETING""]","[""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]",1,1,1
112,Who invites Li Hua to join the community bake sale?,Adam Smith,"[""Li Hua"", ""Event"", ""Invite"", ""Attend"", ""Community bake sale"", ""Invitations"", ""Personality""]","[""COMMUNITY BAKE SALE"", ""LI HUA"", ""LIHUA""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
129,Who is delivering the bread to Li Hua on 20260403?,Alice,"[""Person delivering"", ""Bread"", ""Date"", ""Delivery of bread"", ""Li Hua"", ""Date 20260403""]","[""BREAD"", ""DELIVERY OF BREAD"", ""LI HUA"", ""LIHUA""]","[""ALICE""]",1,1,1
