sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_3
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Li Hua"", ""Overwatch 3""]","[""LI HUA"", ""LIHUA"", ""OVERWATCH 3""]","[""GANG"", ""WOLFGANG"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
32,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"[""Who"", ""introduced"", ""the"", ""bread"", ""delivery"", ""service"", ""and"", ""recommend"", ""Alice""]","[""ALICE"", ""BREAD"", ""DELIVERY""]","[""HAILEYJOHNSON"", ""JOHN"", ""’S""]",1,1,1
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"[""LiHua"", ""photo exhibition"", ""August""]","[""LI HUA"", ""LIHUA""]","[""GANG"", ""WOLFGANG"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,"[""Wolfgang"", ""LiHua""]","[""LI HUA"", ""LIHUA"", ""WOLFGANG""]","[""FITZONE""]",1,1,1
75,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Li Hua"", ""Overwatch 3""]","[""LI HUA"", ""LIHUA"", ""OVERWATCH 3""]","[""GANG"", ""WOLFGANG"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
78,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,"[""Li Hua"", ""Chinese Lunar New Year""]","[""CHINESE LUNAR NEW YEAR"", ""LI HUA"", ""LIHUA""]","[""GANG"", ""WOLFGANG"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
82,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,"[""Li Hua"", ""the client""]","[""LI HUA"", ""LIHUA""]","[""GANG"", ""WOLFGANG"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ"", ""’S""]",1,1,1
85,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,"[""Wolfgang Schulz"", ""Li Hua"", ""café""]","[""CAFÉ"", ""LI HUA"", ""LIHUA"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]","[""THE JAVA SPOT"", ""’S""]",1,1,1
101,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,"[""Li Hua"", ""Yuriko Yamamoto"", ""café""]","[""CAFÉ"", ""LI HUA"", ""LIHUA"", ""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]","[""CENTRAL PERK"", ""CENTRAL PERK CAFÉ""]",1,1,1
108,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,"[""Li Hua"", ""homepage design updates""]","[""LI HUA"", ""LIHUA""]","[""YAMAMOTO"", ""YURIKO"", ""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]",1,1,1
112,Who invites Li Hua to join the community bake sale?,Adam Smith,"[""Li Hua"", ""community bake sale""]","[""COMMUNITY BAKE SALE"", ""LI HUA"", ""LIHUA""]","[""ADAMSMITH"", ""ADAMSMITH(\""ENTITY"", ""’S""]",1,1,1
129,Who is delivering the bread to Li Hua on 20260403?,Alice,"[""Li Hua"", ""20260403""]","[""LI HUA"", ""LIHUA""]","[""ALICE""]",1,1,1
133,What new song does the Jolly band decide to work on for the jam session according to their discussion on 20260410?,Stand By Me,"[""Jolly band"", ""20260410"", ""new song""]",[],"[""STAND-UP COMEDY"", ""’S""]",0,1,0
138,Who proposes that the band takes a break from jamming this week?,Wolfgang Schulz,"[""band"", ""takes a break from jamming this week""]","[""BAND""]","[""GANG"", ""WOLFGANG"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ"", ""’S""]",1,1,1
143,Who is Li Hua bringing to the band's jam session according to their discussion on 20260425?,ChaeSong-hwa,"[""Li Hua"", ""20260425""]","[""LI HUA"", ""LIHUA""]","[""CHAE"", ""CHAESONG-HWA"", ""SONG"", ""’S""]",1,1,1
148,What is the name of the Italian restaurant where Wolfgang and Li Hua are having dinner to celebrate Wolfgang's promotion?,Venedia Grancaffe,"[""Wolfgang"", ""Li Hua"", ""Italian restaurant"", ""promotion""]","[""LI HUA"", ""LIHUA"", ""WOLFGANG""]","[""CAFÉ""]",1,1,0
162,What does LiHua find as a perfect place to work in his conversation with Chae?,The Lighthouse Cafe,"[""LiHua"", ""Chae"", ""perfect place to work""]","[""CHAE"", ""LI HUA"", ""LIHUA""]","[""CAFÉ"", ""’S""]",1,1,1
168,What is the name of the song LiHua suggests revisiting for the band's music session according to their conversation on 20260529?,The History of Everything,"[""LiHua"", ""song"", ""band's music session"", ""20260529""]","[""LI HUA"", ""LIHUA"", ""SONG""]","[""’S""]",1,1,1
171,What is the name of Hailey Johnson's new weekly flavor cheese?,Hazelnut Basque Roasted Cheese,"[""Hailey Johnson"", ""new weekly flavor cheese""]","[""HAILEYJOHNSON""]","[""CHEESE"", ""HAZELNUT BASQUE ROASTED CHEESE"", ""’S""]",1,1,1
178,Who proposes adding some outdoor games or a small water feature to the children's play areain the community discussion?,Thrall,"[""Who"", ""add"", ""some"", ""outdoor"", ""games"", ""or"", ""a"", ""small"", ""water"", ""feature"", ""to"", ""the"", ""children's"", ""play"", ""area"", ""in"", ""the"", ""community"", ""discussion""]","[""COMMUNITY""]","[""THRALL""]",1,1,0
179,Who proposes adding picnic tables for families to enjoy some snacks after playing?,Li Hua,"[""Who"", ""proposes"", ""adding"", ""picnic"", ""tables"", ""for"", ""families"", ""to"", ""enjoy"", ""some"", ""snacks"", ""after"", ""playing""]","[""FAMILIES"", ""SNACKS""]","[""LI HUA"", ""LIHUA"", ""LIHUA'S SPOT"", ""LIHUA'S TRAINING SCHEDULE""]",1,1,1
180,Who proposes creating a little garden area where kids can help plant flowers or vegetables?,GromHellscream,"[""Who"", ""proposes"", ""creating"", ""a"", ""little"", ""garden"", ""area"", ""where"", ""kids"", ""can"", ""help"", ""plant"", ""flowers"", ""or"", ""vegetables""]","[""FLOWERS"", ""GARDEN"", ""KIDS"", ""VEGETABLES""]","[""GROMHELLSCREAM"", ""’S""]",1,1,1
194,What song does Yuriko propose that the band can practice this weekend according to the band's discussion on 20260703?,Take Me Home Country Roads by John Denver,"[""Yuriko"", ""band"", ""20260703""]","[""BAND"", ""YURIKO""]","[""HOME"", ""JOHN"", ""’S""]",1,1,1
195,What is the name of the song that Yuriko recommend to the band on 20260706?,Rolling in the Deep by Adele,"[""Yuriko"", ""song"", ""20260706""]","[""SONG"", ""YURIKO""]","[""ADELE"", ""ROLLING IN THE DEEP""]",1,1,1
