metric,metric_zh,relation_type,value

unique_relation_count,1201
unique_entities_per_relation_avg,4.15154
relation_diversity_per_pair_avg,2.47258
isolated_node_ratio,0.403969
largest_weakly_connected_component_ratio,0.540043
directed_density,0.0007665204
entity_count,实体数,,1412
relation_count,关系数,,1525
average_node_degree,平均节点度,,2.160057
largest_connected_component_size,最大连通分量大小,,762
relation_diversity,关系多样性,,0.443934
duplicate_entity_rate,重复实体率,,0.001416
duplicate_relation_description_rate,重复关系表述率,,0.015738

unique_entities_per_relation,每种关系连接的唯一实体数,"""Exercise",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""activity planning",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""agreement",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""artistic interest",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""associated activity",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""attendance",4
unique_entities_per_relation,每种关系连接的唯一实体数,"""band",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""captivating moments",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""collaboration",15
unique_entities_per_relation,每种关系连接的唯一实体数,"""community",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""delivery",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""documentation",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""employment",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""entertainment",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""enthusiasm",10
unique_entities_per_relation,每种关系连接的唯一实体数,"""event attendance",4
unique_entities_per_relation,每种关系连接的唯一实体数,"""event planning",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""excitement",12
unique_entities_per_relation,每种关系连接的唯一实体数,"""expectation",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""expertise",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""exploration",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""favorite show",4
unique_entities_per_relation,每种关系连接的唯一实体数,"""financial obligations",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""food enjoyment",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""food preference",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""freelancer",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""friendship",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""gaming interest",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""genre mixing",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""group purchase",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""health",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""holiday celebration",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""hosting",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""information sharing",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""interest",9
unique_entities_per_relation,每种关系连接的唯一实体数,"""introduction",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""invitation",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""involvement",4
unique_entities_per_relation,每种关系连接的唯一实体数,"""joint activity",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""leadership approaches",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""meal planning",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""meeting location",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""meeting plan",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""member",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""music",5
unique_entities_per_relation,每种关系连接的唯一实体数,"""mutual appreciation",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""organization",4
unique_entities_per_relation,每种关系连接的唯一实体数,"""ownership",7
unique_entities_per_relation,每种关系连接的唯一实体数,"""participation",16
unique_entities_per_relation,每种关系连接的唯一实体数,"""past interest",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""personal conversation",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""planner",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""preference",3
unique_entities_per_relation,每种关系连接的唯一实体数,"""preparation",2
unique_entities_per_relation,每种关系连接的唯一实体数,"""product",3
