sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_2
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Accompanying people"", ""Movie theater"", ""Ticket purchase""]","[""FAMILY"", ""FRIENDS""]","[""WOLFGANG""]",1,1,1
32,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"[""Delivery service"", ""Recommendation system"", ""Alice (name)"", ""Bread delivery""]","[""BREAD DELIVERY"", ""DELIVERY SERVICE""]","[""HAILEYJOHNSON""]",1,1,1
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"[""LiHua"", ""Person"", ""Attendees"", ""Exhibition""]","[""EXHIBITION"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,"[""Name of the gym"", ""Wolfgang"", ""LiHua"", ""Gym location"", ""Gym facilities""]","[""LI HUA"", ""LIHUA"", ""WOLFGANG""]","[""FITZONE""]",1,1,1
75,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Group""]","[""FAMILY"", ""FRIENDS"", ""GROUP""]","[""WOLFGANG""]",1,1,1
78,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,"[""Li Hua"", ""Gifts"", ""Food"", ""Traditions"", ""Family members""]","[""FOOD"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
82,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,"[""Client requests"", ""Log entry"", ""Change tracking"", ""Documentation""]",[],"[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",0,1,0
85,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,"[""Café name"", ""Recommendation"", ""Person's name"", ""Individual""]","[""RECOMMENDATION""]","[""THE JAVA SPOT""]",1,1,1
101,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,"[""Name of café"", ""Meeting location"", ""Website discussion"", ""Person names"", ""Event details""]",[],"[""CENTRAL PERK""]",0,1,0
108,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,"[""Person"", ""Design"", ""Discussion"", ""Update"", ""Attendee""]","[""DESIGN"", ""DISCUSSION""]","[""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]",1,1,1
112,Who invites Li Hua to join the community bake sale?,Adam Smith,"[""Li Hua"", ""Event invitation"", ""Community members"", ""Bake sale details"", ""Attendance""]","[""LI HUA"", ""LIHUA""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
129,Who is delivering the bread to Li Hua on 20260403?,Alice,"[""Person delivering"", ""Bread"", ""Date""]","[""BREAD""]","[""ALICE""]",1,1,1
133,What new song does the Jolly band decide to work on for the jam session according to their discussion on 20260410?,Stand By Me,"[""Song title"", ""Band members"", ""Session date"", ""Music production""]",[],"[""'STAND BY ME'"", ""STAND BY ME""]",0,1,0
138,Who proposes that the band takes a break from jamming this week?,Wolfgang Schulz,"[""Band members"", ""Jamming"", ""Proposal"", ""Week""]","[""JAMMING""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
143,Who is Li Hua bringing to the band's jam session according to their discussion on 20260425?,ChaeSong-hwa,"[""Band members"", ""Jam session attendees"", ""Date of discussion""]",[],"[""CHAE SONG-HWA"", ""CHAESONG-HWA""]",0,1,0
148,What is the name of the Italian restaurant where Wolfgang and Li Hua are having dinner to celebrate Wolfgang's promotion?,Venedia Grancaffe,"[""Restaurant name"", ""Wolfgang"", ""Li Hua"", ""Dining experience"", ""Promotion event""]","[""LI HUA"", ""LIHUA"", ""WOLFGANG""]","[""VENEDIA GRANCAFFE""]",1,1,1
162,What does LiHua find as a perfect place to work in his conversation with Chae?,The Lighthouse Cafe,"[""Job satisfaction"", ""Work-life balance"", ""Career growth"", ""Company culture"", ""Employee benefits""]","[""WORK-LIFE BALANCE""]","[""THE LIGHTHOUSE CAFE""]",1,1,1
168,What is the name of the song LiHua suggests revisiting for the band's music session according to their conversation on 20260529?,The History of Everything,"[""Song title"", ""Conversation"", ""Date"", ""Band members"", ""Revisiting""]",[],"[""THE HISTORY OF EVERYTHING""]",0,1,0
